zip_code,latitude,longitude,city,state,county,active
00501,40.8154,-73.0451,Holtsville,NY,Suffolk County,True
00544,40.8154,-73.0451,Holtsville,NY,Suffolk County,True
00601,18.1967,-66.7367,Adjuntas,PR,Adjuntas Municipio,True
00602,18.3529,-67.1775,Aguada,PR,Aguada Municipio,True
00603,18.4586,-67.1299,Aguadilla,PR,Aguadilla Municipio,True
00604,18.4888,-67.1477,Aguadilla,PR,,True
00605,18.4289,-67.1538,Aguadilla,PR,,True
00606,18.1667,-66.9392,Maricao,PR,Maricao Municipio,True
00610,18.2946,-67.13,Anasco,PR,Anasco Municipio,True
00611,18.2856,-66.9698,Angeles,PR,Utuado Municipio,True
00612,18.388,-66.6653,Arecibo,PR,Arecibo Municipio,True
00613,18.4744,-66.7163,Arecibo,PR,,True
00614,18.4744,-66.7163,Arecibo,PR,,True
00616,18.4055,-66.6712,Bajadero,PR,Arecibo Municipio,True
00617,18.4298,-66.5581,Barceloneta,PR,Barceloneta Municipio,True
00622,17.9929,-67.1537,Boqueron,PR,Cabo Rojo Municipio,True
00623,18.0402,-67.1466,Cabo Rojo,PR,Cabo Rojo Municipio,True
00624,18.0728,-66.7248,Penuelas,PR,Penuelas Municipio,True
00627,18.4252,-66.8678,Camuy,PR,Camuy Municipio,True
00631,18.2246,-66.8678,Castaner,PR,Lares Municipio,True
00636,18.1647,-67.0797,Rosario,PR,San German Municipio,True
00637,18.0776,-66.9392,Sabana Grande,PR,Sabana Grande Municipio,True
00638,18.2997,-66.4986,Ciales,PR,Ciales Municipio,True
00641,18.2797,-66.6891,Utuado,PR,Utuado Municipio,True
00646,18.4591,-66.2724,Dorado,PR,Dorado Municipio,True
00647,17.9725,-66.9452,Ensenada,PR,Guanica Municipio,True
00650,18.363,-66.5581,Florida,PR,Florida Municipio,True
00652,18.4519,-66.5998,Garrochales,PR,Arecibo Municipio,True
00653,17.9825,-66.8916,Guanica,PR,Guanica Municipio,True
00656,18.0373,-66.7963,Guayanilla,PR,Guayanilla Municipio,True
00659,18.416,-66.7963,Hatillo,PR,Hatillo Municipio,True
00660,18.1382,-67.112,Hormigueros,PR,Hormigueros Municipio,True
00662,18.4561,-67.0226,Isabela,PR,Isabela Municipio,True
00664,18.2103,-66.5819,Jayuya,PR,Jayuya Municipio,True
00667,18.01,-67.0226,Lajas,PR,Lajas Municipio,True
00669,18.2914,-66.8678,Lares,PR,Lares Municipio,True
00670,18.2396,-66.9869,Las Marias,PR,Las Marias Municipio,True
00674,18.4332,-66.4986,Manati,PR,Manati Municipio,True
00676,18.3856,-67.0822,Moca,PR,Moca Municipio,True
00677,18.3317,-67.2312,Rincon,PR,Rincon Municipio,True
00678,18.4313,-66.9154,Quebradillas,PR,Quebradillas Municipio,True
00680,18.21,-67.106,Mayaguez,PR,Mayaguez Municipio,True
00681,18.1211,-67.0824,Mayaguez,PR,,True
00682,18.2208,-67.1477,Mayaguez,PR,Mayaguez Municipio,True
00683,18.0992,-67.0226,San German,PR,San German Municipio,True
00685,18.3162,-66.975,San Sebastian,PR,San Sebastian Municipio,True
00687,18.3222,-66.4152,Morovis,PR,Morovis Municipio,True
00688,18.35,-66.6296,Sabana Hoyos,PR,Arecibo Municipio,True
00690,18.5019,-67.0971,San Antonio,PR,Aguadilla Municipio,True
00692,18.4018,-66.3438,Vega Alta,PR,Vega Alta Municipio,True
00693,18.4207,-66.4033,Vega Baja,PR,Vega Baja Municipio,True
00694,18.4465,-66.3884,Vega Baja,PR,Vega Baja Municipio,True
00698,18.0909,-66.8678,Yauco,PR,Yauco Municipio,True
00703,18.2626,-66.1296,Aguas Buenas,PR,Aguas Buenas Municipio,True
00704,17.9802,-66.2189,Aguirre,PR,Salinas Municipio,True
00705,18.1354,-66.2605,Aibonito,PR,Aibonito Municipio,True
00707,18.0127,-65.9155,Maunabo,PR,Maunabo Municipio,True
00714,17.9871,-66.0582,Arroyo,PR,Arroyo Municipio,True
00715,18.0071,-66.5581,Mercedita,PR,Ponce Municipio,True
00716,17.9877,-66.6236,Ponce,PR,Ponce Municipio,True
00717,18.0004,-66.6147,Ponce,PR,Ponce Municipio,True
00718,18.2501,-65.7847,Naguabo,PR,Naguabo Municipio,True
00719,18.2782,-66.2486,Naranjito,PR,Naranjito Municipio,True
00720,18.2045,-66.451,Orocovis,PR,Orocovis Municipio,True
00721,18.3018,-66.08,Palmer,PR,,True
00723,18.0252,-66.0107,Patillas,PR,Patillas Municipio,True
00725,18.2056,-66.0345,Caguas,PR,Caguas Municipio,True
00726,18.2364,-66.0489,Caguas,PR,,True
00727,18.2167,-66.0553,Caguas,PR,Caguas Municipio,True
